Section Name,Short Title,Min Cred,Max Cred,BLDG,ROOM,DAYS,Start Time,End Time,Faculty Name,Avail Status,Prerequisites,Coreq,Notes,Location,Seats Available,Seat Capatcity
BSM-200-01,SPORTS MGT PRACTICUM I,1.0,0.0,,,,,,"Kasperski, Michael",Open,,,,MC,25,25
BSM-201-01,SPORT FACILITY & EVENT MGT,3.0,0.0,,,,,,"Rutkowski, Zachary",Open,,,,OL,30,30
BSM-300-01,SPORTS MGT PRACTICUM II,1.0,0.0,,,,,,"Kasperski, Michael",Open,,,,MC,25,25
BSM-301-01,SPORTS PROMOTION & SALES MGT,3.0,0.0,SWAN,205,W,8:00 AM,10:30 AM,"Demiris, Tiffany",Open,,,,MC,15,15
BSM-309-01,SPORTS MARKETING,3.0,0.0,,,H,,,"Kershner, Shaena",Open,MKT 301,,,OL,30,30
BSM-309-02,SPORTS MARKETING,3.0,0.0,,,H,,,"Kershner, Shaena",Open,MKT 301,,,OL,30,30
BSM-329-01,INTRO TO SPORTS MANAGEMENT,3.0,0.0,SWAN,205,M,10:35 AM,1:05 PM,"Demiris, Tiffany",Open,,,crosslisted with MGT 329 01 ,MC,20,20
BSM-329-02,INTRO TO SPORTS MANAGEMENT,3.0,0.0,SWAN,205,S,10:35 AM,1:05 PM,"Demiris, Tiffany",Open,,,crosslisted with MGT 329 02,MC,20,20
BSM-400-01,SPORTS MGT MAJOR INTERNSHIP,3.0,0.0,,,,,,"Kasperski, Michael",Open,,,,MC,25,25
BSM-401-01,STRATEGIC MGT SPORT ORGANIZ,3.0,0.0,SWAN,205,W,1:10 PM,3:40 PM,"Pinheiro, Ryan",Open,,,,MC,15,15
BUS-299FE-01,SP TOP:FRANCISCAN ECONOMY,3.0,0.0,SWAN,205,W,,,"Mahar, James",Open,,,crosslisted with MBA 696FE F1F01,MC,20,20
CE-500-72L01,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Hindman, Margaret",Open,,,,SBUOL,20,20
CE-500-72L02,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Swarts, Gabriel",Open,,,,SBUOL,20,20
CE-500-72L03,RESEARCH METHODS IN EDUC PROF,3.0,0.0,,,,,,"Staff, ",Open,,,,SBUOL,20,20
CE-501-71L01,COUN EDUC PROGRAM ORIENTATION,0.0,0.0,,,,,,"Luedke, Ashley",Open,,,,SBUOL,60,60
CE-510-71L01,INTRO PROF. COUNSELING,3.0,0.0,,,,,,"Scherer, Rebecca",Open,,,,SBUOL,20,20
CE-510-71L02,INTRO PROF. COUNSELING,3.0,0.0,,,,,,"Scherer, Rebecca",Open,,,,SBUOL,20,20
CE-510-71L03,INTRO PROF. COUNSELING,3.0,0.0,,,,,,"Mason, Wesley",Open,,,,SBUOL,20,20
CE-511-72L01,ADV HUMAN GROWTH/DEVELOPMNT,3.0,0.0,,,,,,"Mason, Wesley",Open,,,,SBUOL,20,20
CE-511-72L02,ADV HUMAN GROWTH/DEVELOPMNT,3.0,0.0,,,,,,"Mason, Wesley",Open,,,,SBUOL,20,20
CE-530-71L01,THEORIES/TECHN OF COUNSELING,3.0,0.0,,,,,,"Smith, Nathaniel",Open,,,,SBUOL,25,25
CE-530-71L02,THEORIES/TECHN OF COUNSELING,3.0,0.0,,,,,,"Smith, Nathaniel",Open,,,,SBUOL,25,25
CE-540-72L01,DIAGNOSIS OF PSYCHOPATHOLOGY,3.0,0.0,,,,,,"Kicior, Nicholas",Open,,,,SBUOL,20,20
CE-540-72L02,DIAGNOSIS OF PSYCHOPATHOLOGY,3.0,0.0,,,,,,"Kicior, Nicholas",Open,,,,SBUOL,20,20
CE-550-71L01,GROUP COUNSELING,3.0,0.0,,,T,,,"Castillo, Jaime",Open,,,,SBUOL,20,20
CE-550-71L02,GROUP COUNSELING,3.0,0.0,,,,,,"Kicior, Nicholas",Open,,,,SBUOL,20,20
CE-560-71L01,PSYCH TESTING & ASSESSMENT,3.0,0.0,,,,,,"DeCarlo, Keli",Open,,,,SBUOL,20,20
CE-560-71L02,PSYCH TESTING & ASSESSMENT,3.0,0.0,,,,,,"DeCarlo, Keli",Open,,,,SBUOL,20,20
CE-570-71L01,CAREER COUNSELING,3.0,0.0,,,,,,"Luke, Charles",Open,,,,SBUOL,20,20
CE-570-71L02,CAREER COUNSELING,3.0,0.0,,,,,,"Luke, Charles",Open,,,,SBUOL,20,20
CE-609-71L01,INTRO TO CLINICAL PRACTICE,0.0,0.0,,,,,,"Smith, Nathaniel",Open,,,,SBUOL,60,60
CE-610-F1L01,PRACTICUM IN COUNSELING,3.0,0.0,,,T,,,"Luedke, Ashley",Open,,,,SBUOL,10,10
CE-610-F1L02,PRACTICUM IN COUNSELING,3.0,0.0,,,M,,,"Smith, Nathaniel",Open,,,,SBUOL,10,10
CE-610-F1L03,PRACTICUM IN COUNSELING,3.0,0.0,,,TH,,,"Mullen, Alyson",Open,,,,SBUOL,10,10
CE-610-F1L04,PRACTICUM IN COUNSELING,3.0,0.0,,,M,,,"Mann, Amy",Open,,,,SBUOL,10,10
CE-620A-F1L01,INTERN I:SCH COUNSELING,3.0,0.0,,,W,,,"Glover, Brittany",Open,,,,SBUOL,12,12
CE-620B-F1L01,INTERN II:SCH COUNSELING,3.0,0.0,,,W,,,"Glover, Brittany",Open,,,,SBUOL,10,10
CE-620B-F1L02,INTERN II:SCH COUNSELING,3.0,0.0,,,W,,,"Cappy Gruhn, Brenda",Open,,,,SBUOL,10,10
CE-620B-F1L03,INTERN II:SCH COUNSELING,3.0,0.0,,,T,,,"Robertson, Adrianne",Open,,,,SBUOL,10,10
CE-625A-F1L01,INTERN I:CMH COUNSEL,3.0,0.0,,,T,,,"McDonald, Justin",Open,,,,SBUOL,11,11
CE-625A-F1L02,INTERN I:CMH COUNSEL,3.0,0.0,,,T,,,"McDonald, Justin",Open,,,,SBUOL,12,12
CE-625B-F1L01,INTERNSHIP II: CMHC,3.0,0.0,,,W,,,"Luedke, Ashley",Open,,,,SBUOL,11,11
CE-625B-F1L02,INTERNSHIP II: CMHC,3.0,0.0,,,T,,,"Loeffler, David",Open,,,,SBUOL,11,11
CE-628-72L01,FOUNDATIONS OF SCH COUNSELING,3.0,0.0,,,,,,"Henry, Heidi",Open,,,,SBUOL,25,25
CE-629-72L01,ETHICAL&LEGAL ISS IN SCH COUN,3.0,0.0,,,,,,"Henry, Heidi",Open,,,,SBUOL,20,20
